id,name,gender,movie_id,title,order
11181.0,Kenneth Branagh,2.0,8487,Wild Wild West,2
18269.0,Brendan Fraser,2.0,1735,The Mummy: Tomb of the Dragon Emperor,0
1336.0,Jet Li,2.0,1735,The Mummy: Tomb of the Dragon Emperor,1
10727.0,John Hannah,2.0,1735,The Mummy: Tomb of the Dragon Emperor,2
2888.0,Will Smith,2.0,297761,Suicide Squad,0
234352.0,Margot Robbie,1.0,297761,Suicide Squad,1
92404.0,Joel Kinnaman,2.0,297761,Suicide Squad,2
4495.0,Steve Carell,2.0,2698,Evan Almighty,0
16858.0,Lauren Graham,1.0,2698,Evan Almighty,1
1230.0,John Goodman,2.0,2698,Evan Almighty,2
500.0,Tom Cruise,2.0,137113,Edge of Tomorrow,0
5081.0,Emily Blunt,1.0,137113,Edge of Tomorrow,1
2039.0,Brendan Gleeson,2.0,137113,Edge of Tomorrow,2
1269.0,Kevin Costner,2.0,9804,Waterworld,0
59350.0,Chaim Girafi,0.0,9804,Waterworld,1
3432.0,Rick Aviles,2.0,9804,Waterworld,2
6065.0,Dennis Quaid,2.0,14869,G.I. Joe: The Rise of Cobra,0
38673.0,Channing Tatum,2.0,14869,G.I. Joe: The Rise of Cobra,1
9562.0,Marlon Wayans,2.0,14869,G.I. Joe: The Rise of Cobra,2
56322.0,Amy Poehler,1.0,150540,Inside Out,0
169200.0,Phyllis Smith,1.0,150540,Inside Out,1
21125.0,Richard Kind,2.0,150540,Inside Out,2
1414734.0,Neel Sethi,2.0,278927,The Jungle Book,0
1532.0,Bill Murray,2.0,278927,The Jungle Book,1
2282.0,Ben Kingsley,2.0,278927,The Jungle Book,2
3223.0,Robert Downey Jr.,2.0,10138,Iron Man 2,0
12052.0,Gwyneth Paltrow,1.0,10138,Iron Man 2,1
1896.0,Don Cheadle,2.0,10138,Iron Man 2,2
37917.0,Kristen Stewart,1.0,58595,Snow White and the Huntsman,0
6885.0,Charlize Theron,1.0,58595,Snow White and the Huntsman,1
74568.0,Chris Hemsworth,2.0,58595,Snow White and the Huntsman,2
11701.0,Angelina Jolie,1.0,102651,Maleficent,0
18050.0,Elle Fanning,1.0,102651,Maleficent,1
82191.0,Sharlto Copley,2.0,102651,Maleficent,2
1333.0,Andy Serkis,2.0,119450,Dawn of the Planet of the Apes,0
76512.0,Jason Clarke,2.0,119450,Dawn of the Planet of the Apes,1
64.0,Gary Oldman,2.0,119450,Dawn of the Planet of the Apes,2
2299.0,Josh Hartnett,2.0,79698,The Lovers,0
76850.0,Simone Kessell,1.0,79698,The Lovers,1
66442.0,Tamsin Egerton,1.0,79698,The Lovers,2
6384.0,Keanu Reeves,2.0,64686,47 Ronin,0
